longitude,latitude,Country,Code,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
13.797778364631036,47.631858269895794,Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.675010154696485,50.61821389,Belgium,BEL,0,0.004279176,0.06386287,0.037189946,0.012221684,0.029974239,0,0.005546642,0.0378119,0.07624646,3.7160206,5.181654,6.152732,6.1779966,5.473749,6.28998,6.778338,8.632464,13.708486,15.095815,18.035742,19.899645,20.578224,20.722084,19.670311,19.509747,18.917803,19.221395,18.848497,17.362528,17.459427,17.225065,18.650774,17.81293,19.04926,18.382523,17.732296,18.085253,17.310596,17.110222,17.295948,16.796942,17.139906,15.839842,17.678175,16.69833,17.893238,15.47942,15.8885975,13.461277,10.260129,15.758331,15.059978,10.165352,14.908889,13.068869,17.11372,16.073992
25.251739122561908,42.82043677302438,Bulgaria,BGR,0,0,0,0,0,0,0,0,0,1.0970328,2.731498,5.0377827,5.638109,5.469179,5.5100193,5.206458,7.8164997,8.991337,10.2371645,10.645422,11.060186,9.96664,10.189973,12.835609,11.765628,12.798168,14.218344,13.240602,15.015017,17.127945,17.935957,18.863354,19.582895,19.386263,20.648235,23.714949,24.518131,25.973707,21.330265,21.329077,21.699072,22.10574,17.069553,18.457743,20.218214,19.199457,19.216732,19.438833,18.707655,19.498186,17.692781,19.016075,18.196228,18.70933,19.795065,21.445946,18.661123,17.755186
16.625761129583374,44.91192100856702,Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.383273292023533,49.74917370930982,Czechia,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09303672,0.5577771,1.0770258,2.7324076,4.648146,5.1101027,5.540292,6.531415,6.91761,7.1969023,7.481126,7.8930864,7.137352,7.2500443,7.35029,7.9852843,8.441378,8.126771,8.568307,10.782364,13.992831,13.791254,13.07551,13.432363,13.560046,13.939386,14.79543,14.512777,14.9149685,15.97545,16.402435,16.425867,14.735261,13.334242,14.752414,15.534045,16.008862,17.10802,16.540333,16.716375
9.378670542409406,56.00118817971057,Denmark,DNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.916870250633806,58.648108311231034,Estonia,EST,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.65738433454702,65.01578959749911,Finland,FIN,,,,,,,,,,0,0,0,3.1640697,3.7396271,7.1456394,7.4766593,15.463504,17.912533,19.103945,19.520845,18.794527,18.599487,18.192064,18.225931,17.717686,16.86802,16.738152,16.57709,17.005762,15.792434,16.387493,15.9041195,16.824707,17.023794,18.252615,17.761837,17.49802,16.933708,16.017912,15.97308,17.883545,16.308067,16.62915,16.799854,18.473196,16.355463,17.541145,17.764927,18.062222,18.585579,18.263952,17.841534,17.542223,17.33386,18.465342,18.742918,18.528868,19.328007
2.1940236627886227,46.64236822,France,FRA,0.194345,0.29510805,0.41275114,0.581042,0.61525667,0.8986743,1.4119526,2.0658839,1.9235859,1.9531982,2.5719426,2.0891435,2.3443518,3.808715,4.854645,7.53303,13.080229,14.044781,18.15049,23.2767,26.423342,29.239977,29.993069,30.712566,33.45373,33.53118,33.27887,33.709965,36.665623,36.29672,37.15405,37.732853,38.07375,36.515873,36.460148,37.911526,37.739025,39.295826,39.027363,39.088554,39.356525,39.308205,38.83513,38.449413,37.733723,38.073338,40.63009,38.848984,38.098328,40.731968,40.325798,37.59569,37.200516,37.638332,37.02672,36.332573,36.47929,31.647501
10.426171427430804,51.08304539800482,Germany,DEU,0.011180748,0.02525835,0.11705796,0.15805675,0.40964094,0.51029456,0.48408723,0.71663713,0.8614975,1.04715,1.8193837,2.086192,2.9212904,2.9981933,3.3706467,3.7208297,4.5273995,5.3295994,5.512114,7.103472,9.169366,8.702531,9.371477,10.334494,10.768156,10.320965,10.224547,11.238698,10.91208,10.850116,11.000846,11.168936,11.924152,11.407574,12.170595,12.067149,11.886486,11.508927,11.453849,11.520799,11.305255,11.248451,9.79398,10.196054,9.793696,9.730883,7.702846,6.9564095,6.5772586,6.8050942,6.2734694,5.6576023,5.0072136,5.0844984,5.1357646,4.705826,4.890388,2.541131
23.110368936161876,39.42012261727978,Greece,GRC,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
